word	index	level
人	a#人人们	1.0
人口	a#人人们	1.0
人类	a#人人们	2.0
人士	a#人人们	2.0
人物	a#人人们	2.0
人员	a#人人们	2.0
人手	a#人人们	3.0
劳动力	a#人人们	3.0
个人	a#人人们	2.0
私人	a#人人们	2.0
家伙	a#人人们	2.0
公民	a#人人们	2.0
国民	a#人人们	2.0
人民	a#人人们	2.0
百姓	a#人人们	2.0
大众	a#人人们	2.0
平民	a#人人们	2.0
群众	a#人人们	2.0
众人	a#人人们	2.0
男女老少	a#人人们	2.0
民众	a#人人们	3.0
生灵	a#人人们	3.0
乌合之众	a#人人们	4.0
人们	a#人人们	1.0
遗民	a#人人们	4.0
人群	a#人人们	2.0
人流	a#人人们	3.0
大家	a#人人们	1.0
大伙儿	a#人人们	1.0
我	b#我我们	1.0
俺	b#我我们	2.0
本人	b#我我们	3.0
鄙人	b#我我们	4.0
咱	b#我我们	1.0
我们	b#我我们	1.0
咱们	b#我我们	1.0
自己	b#我我们	1.0
各自	b#我我们	2.0
自身	b#我我们	2.0
本身	b#我我们	3.0
本人	b#我我们	3.0
自我	b#我我们	3.0
你	c#你你们	1.0
您	c#你你们	1.0
汝	c#你你们	4.0
兄弟	c#你你们	1.0
同志	c#你你们	2.0
各位	c#你你们	1.0
你	c#你你们	11.0
诸位	c#你你们	3.0
他	d#他他们	1.0
她	d#他他们	1.0
其	d#他他们	2.0
他们	d#他他们	1.0
她们	d#他他们	1.0
别人	d#他他们	1.0
人家	d#他他们	1.0
某	d#他他们	2.0
旁人	d#他他们	2.0
创始	e#前人	3.0
鼻祖	e#前人	4.0
古人	e#前人	1.0
前人	e#前人	3.0
先辈	e#前人	3.0
先驱	e#前人	4.0
今人	f#后人	2.0
世人	f#后人	3.0
后代	f#后人	2.0
接班	f#后人	2.0
传人	f#后人	3.0
后辈	f#后人	3.0
后人	f#后人	3.0
后嗣	f#后人	4.0
男人	a#男人	1.0
男子	a#男人	1.0
丈夫	a#男人	2.0
男子	a#男人	2.0
先生	a#男人	1.0
女人	b#女人	1.0
妇女	b#女人	2.0
女士	b#女人	3.0
阿姨	b#女人	1.0
太太	b#女人	2.0
主妇	b#女人	2.0
姑娘	b#女人	1.0
少女	b#女人	1.0
小姐	b#女人	1.0
丫头	b#女人	2.0
宝贝1	a#男人	1.0
婴儿2	a#男人	2.0
幼儿2	a#男人	2.0
儿童1	a#男人	1.0
孩子1	a#男人	1.0
娃娃1	a#男人	1.0
小孩儿1	a#男人	1.0
少年2	b#女人	2.0
青年2	b#女人	2.0
年轻人2	b#女人	2.0
小伙子2	b#女人	2.0
大人1	c#大人	1.0
中年2	c#大人	2.0
壮年3	c#大人	3.0
老人1	d#老人	1.0
爷爷1	d#老人	1.0
老爷爷1	d#老人	1.0
公公2	d#老人	2.0
老人家2	d#老人	2.0
奶奶1	d#老人	1.0
老奶奶1	d#老人	1.0
老太太1	d#老人	1.0
亲人	a#亲属统称	1.0
亲戚	a#亲属统称	2.0
亲属	a#亲属统称	2.0
血亲	a#亲属统称	3.0
至亲	a#亲属统称	3.0
本家	a#亲属统称	4.0
远亲	a#亲属统称	2.0
家人	a#亲属统称	1.0
家属	a#亲属统称	2.0
家眷	a#亲属统称	4.0
老人	a#亲属统称	1.0
长辈	a#亲属统称	2.0
前辈	a#亲属统称	3.0
子孙	a#亲属统称	1.0
儿孙	a#亲属统称	2.0
后代	a#亲属统称	2.0
后	a#亲属统称	3.0
后人	a#亲属统称	3.0
父女	b#父母	1.0
父子	b#父母	1.0
母女	b#父母	1.0
母子	b#父母	1.0
大人	b#父母	1.0
父母	b#父母	1.0
家长	b#父母	1.0
爸爸	b#父母	1.0
父亲	b#父母	1.0
爹	b#父母	2.0
妈妈	b#父母	1.0
母亲	b#父母	1.0
娘	b#父母	2.0
慈母	b#父母	3.0
夫妇	c#夫妻	2.0
夫妻	c#夫妻	2.0
结发夫妻	c#夫妻	3.0
